filename	title_to_altLabel	token count	bgrf	title_wikidata	lang	full_work_non_modernized
Pertusier_Premiere	Mes premières étourderies	51091	00.117	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Pertusier_Premiere.txt
PigaultLebrun_Adele	Adèle et D'Abligny	20215	00.119	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/PigaultLebrun_Adele.txt
PigaultLebrun_Enfant	L'enfant du carnaval	106589	96.50	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/PigaultLebrun_Enfant.txt
PigaultLebrun_Kinglin	Monsieur de Kinglin, ou la prescience	21942	00.122	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/PigaultLebrun_Kinglin.txt
PigaultLebrun_Metusko	Métusko, ou les polonais	19289	00.120	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/PigaultLebrun_Metusko.txt
Popeliniere_Daira	Daïra. Histoire orientale	45378	60.21	Q28530619	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Popeliniere_Daira.txt
Prevost_Monde	Le monde moral,: ou mémoires pour servir à l'histoire du cœur humain	148056	60.28	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Prevost_Monde.txt
Puget_Periphas	Les aventures de Periphas, descendant de Cécrops	64565	61.17	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Puget_Periphas.txt
Puttelange_Roi	Le Roi Guiot	25627	91.44	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Puttelange_Roi.txt
Quesne_Folies	Les folies d'un conscrit	43938	00.127	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Quesne_Folies.txt
Retif_AntiJustine	L'Anti-Justine	57064	98.84	Q3202134	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Retif_AntiJustine.txt
Retif_Paysan	Le Paysan perverti ou les Dangers de la ville	227442	76.44	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Retif_Paysan.txt
Retif_Paysanne	La paysanne pervertie ou Les dangers de la ville	199462	84.58	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Retif_Paysanne.txt
Retif_Sara	Histoire de Sara	65626	83.48	Q3321423	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Retif_Sara.txt
