FR	EN	DE		P30	P58						P30RP14	P58RP14	P2	P2RP14	P25
droit public	public law	öffentliches Recht	Q207892	https://www.wikidata.org/wiki/Q207892		droit public	Public law	öffentliches Recht	DEL	exact match					
droits de l'homme	human rights	Menschenrechte	Q8458		https://www.wikidata.org/wiki/Q8458	droits humains	human rights	Menschenrechte	DEL	close match	#	Q19			
dystopie	dystopia	Dystopie	Q180774	https://www.wikidata.org/wiki/Q180774		dystopie	dystopia	Dystopie	Seklit	exact match					
éclectisme	eclecticism	Eklektizismus	Q192068	https://www.wikidata.org/wiki/Q192068		éclecticisme	eclecticism	Eklektizismus	DEL	exact match					
économie	economy	Wirtschaft	Q159810	https://www.wikidata.org/wiki/Q159810		économie	economy	Wirtschaft	DEL	exact match					
écriture	writing	Schreiben	Q37260	https://www.wikidata.org/wiki/Q37260		écriture	writing	Schreiben	Seklit	exact match					
éducation	education	Bildung	Q8434		https://www.wikidata.org/wiki/Q8434	éducation	education	Ausbildung	DEL	close match	#	Q19			
égalité	equality	Gleichheit	Q773009	https://www.wikidata.org/wiki/Q773009		égalité	equality	Gleichheit	DEL	exact match					
égoïsme	egoism	Egoismus	Q238350	https://www.wikidata.org/wiki/Q238350		égoïsme	egoism	Egoismus	Seklit	exact match					
égyptomanie	egyptomania	Ägyptomanie	Q254272	https://www.wikidata.org/wiki/Q254272		égyptomanie	egyptomania	Ägyptomanie	DEL	exact match					
électricité	electricity	Elektrizität	Q12725	https://www.wikidata.org/wiki/Q12725		électricité	electricity	Elektrizität	DEL	exact match					
éloquence	eloquence	Eloquenz	Q1489271		https://www.wikidata.org/wiki/Q1489271	éloquence	eloquence	Sprachfertigkeit	DEL	close match	#	Q19			
empirisme	empiricism	Empirismus	Q83368	https://www.wikidata.org/wiki/Q83368		empirisme	empiricism	Empirismus	DEL	exact match					
encyclopédie	encyclopedia	Enzyklopädie	Q5292	https://www.wikidata.org/wiki/Q5292		encyclopédie	encyclopedia	Enzyklopädie	DEL	exact match					
énergie	energy	Energie	Q11379	https://www.wikidata.org/wiki/Q11379		énergie	energy	Energie	DEL	exact match					
enfance	childhood	Kindheit	Q276258	https://www.wikidata.org/wiki/Q276258		Enfance	childhood	Kindheit	DEL	exact match					
enthousiasme	enthusiasm	Enthusiasmus	Q840407	https://www.wikidata.org/wiki/Q840407		enthousiasme	enthusiasm	Enthusiasmus	DEL	exact match					
envie	envy	Neid	Q188739	https://www.wikidata.org/wiki/Q188739		envie	envy	Neid	Seklit	exact match					
épicurisme	epicureanism	Epikureismus	Q179541	https://www.wikidata.org/wiki/Q179541		épicurisme	epicureanism	Epikureismus	DEL	exact match					
érotisme	eroticism	Erotik	Q3519050	https://www.wikidata.org/wiki/Q3519050		érotisme	eroticism	Erotik	DEL	exact match					
esclavage	slavery	Sklaverei	Q8463	https://www.wikidata.org/wiki/Q8463		esclavage	slavery	Sklaverei	DEL	exact match					
espèce	species	Spezies	Q7432		https://www.wikidata.org/wiki/Q7432	Espèce	species	Art	DEL	close match	#	Q19			
espoir	hope	Hoffnung	Q190507	https://www.wikidata.org/wiki/Q190507		espoir	hope	Hoffnung	Seklit	exact match					
essai	essay	Essay	Q35760	https://www.wikidata.org/wiki/Q35760		Essai	essay	Essay	DEL	exact match					
esthétique	aesthetics	Ästhetik	Q35986	https://www.wikidata.org/wiki/Q35986		esthétique	aesthetics	Ästhetik	DEL	exact match					
état	state	Staat	Q7275	https://www.wikidata.org/wiki/Q7275		état	state	Staat	DEL	exact match					
état de nature	state of nature	Naturzustand	Q1130390	https://www.wikidata.org/wiki/Q1130390		état de nature	state of nature	Naturzustand	Seklit	exact match					
être humain	human	Mensch	Q5	https://www.wikidata.org/wiki/Q5		être humain	human	Mensch	Seklit	exact match					
exotisme	exoticism	Exotismus	Q368949	https://www.wikidata.org/wiki/Q368949		exotisme	exoticism	Exotismus	Seklit	exact match					
expérience	experience	Erfahrung	Q164359	https://www.wikidata.org/wiki/Q164359		expérience	experience	Erfahrung	Seklit	exact match					
fable	fable	Fabel	Q693	https://www.wikidata.org/wiki/Q693		fable	fable	Fabel	DEL	exact match					
famille	family	Familie	Q8436	https://www.wikidata.org/wiki/Q8436		famille	family	Familie	DEL	exact match					
fanatisme	fanaticism	Fanatismus	Q489750	https://www.wikidata.org/wiki/Q489750		fanatisme	fanatacism	Fanatismus	DEL	exact match					
féminisme	feminism	Feminismus	Q7252	https://www.wikidata.org/wiki/Q7252		féminisme	feminism	Feminismus	DEL	exact match					
femme de lettres	woman of letters	Schriftstellerinnen	Q381353		https://www.wikidata.org/wiki/Q381353	femme de lettres	woman of letters	Briefkorrespondentin	DEL	close match	#	Q19			
femme fatale	femme fatale	Femme fatale	Q222573	https://www.wikidata.org/wiki/Q222573		femme fatale	femme fatale	Femme fatale	Seklit	exact match					
féodalité	feudalism	Feudalismus	Q37739	https://www.wikidata.org/wiki/Q37739		féodalité	feudalism	Feudalismus	DEL	exact match					
fête	party	Fest	Q200538	https://www.wikidata.org/wiki/Q200538		fête	party	Fest	DEL	exact match					
finance	finance	Finanzwesen	Q43015		https://www.wikidata.org/wiki/Q43015	Finance	finance	Finanzen	DEL	close match	#	Q19			
folie	insanity	Wahnsinn	Q505619	https://www.wikidata.org/wiki/Q505619		folie	insanity	Wahnsinn	DEL	exact match					
franc-maçonnerie	freemasonry	Freimaurerei	Q41726	https://www.wikidata.org/wiki/Q41726		franc-maçonnerie	freemasonry	Freimaurerei	DEL	exact match					
fuite	escape	Flucht	Q50388354		https://www.wikidata.org/wiki/Q50388354	échapper	escape	Flucht	Seklit	close match	#	Q19			
futur	future	Zukunft	Q344	https://www.wikidata.org/wiki/Q344		futur	future	Zukunft	Seklit	exact match					
galanterie	gallantary	Courtoisie	Q1627417	https://www.wikidata.org/wiki/Q1627417		galanterie	gallantary	Courtoisie	BGRF	exact match					
génération	generation	Generation	Q213381	https://www.wikidata.org/wiki/Q213381		génération	generation	Generation	DEL	exact match					
génie	genius	Genie	Q185030	https://www.wikidata.org/wiki/Q185030		génie	genius	Genie	DEL	exact match					
géographie	geography	Geographie	Q1071	https://www.wikidata.org/wiki/Q1071		géographie	Geography	Geographie	DEL	exact match					
géologie	geology	Geologie	Q1069	https://www.wikidata.org/wiki/Q1069		géologie	geology	Geologie	DEL	exact match					
géométrie	geometry	Geometrie	Q8087	https://www.wikidata.org/wiki/Q8087		géométrie	geometry	Geometrie	DEL	exact match					
goût	taste	Geschmack	Q1143012	https://www.wikidata.org/wiki/Q1143012		goût	taste	Geschmack	DEL	exact match					
gouvernement	government	Regierung	Q7188	https://www.wikidata.org/wiki/Q7188		gouvernement	government	Regierung	DEL	exact match					
grammaire	grammar	Grammatik	Q8091	https://www.wikidata.org/wiki/Q8091		grammaire	grammar	Grammatik	DEL	exact match					
Grand Tour	Grand Tour	Grand Tour	Q6682302	https://www.wikidata.org/wiki/Q6682302		Grand Tour	Grand Tour	Grand Tour	DEL	exact match					
grotesque	grotesque	Groteske	Q218248	https://www.wikidata.org/wiki/Q218248		Grotesque	Grotesque	Groteske	DEL	exact match					
guerre	war	Krieg	Q198	https://www.wikidata.org/wiki/Q198		guerre	war	Krieg	DEL	exact match					
haine	hatred	Hass	Q160232	https://www.wikidata.org/wiki/Q160232		haine	hatred	Hass	Seklit	exact match					
héros	hero	Held	Q162244	https://www.wikidata.org/wiki/Q162244		héros	hero	Held	DEL	exact match					
histoire	history	Geschichte	Q309	https://www.wikidata.org/wiki/Q309		histoire	history	Geschichte	DEL	exact match					
histoire naturelle	natural history	Naturgeschichte	Q484591	https://www.wikidata.org/wiki/Q484591		Histoire naturelle	Natural history	Naturgeschichte	DEL	exact match					
humanité	humanity	Menschlichkeit	Q17027938	https://www.wikidata.org/wiki/Q17027938		humanité	humanity	Menschlichkeit	Seklit	exact match					
hypocrisie	hypocrisy	Heuchelei	Q201650	https://www.wikidata.org/wiki/Q201650		hypocrisie	hypocrisy	Heuchelei	Seklit	exact match					
idéal	ideal	Ideal	Q840396	https://www.wikidata.org/wiki/Q840396		idéal	ideal	Ideal	DEL	exact match					
idée	idea	Idee	Q131841	https://www.wikidata.org/wiki/Q131841		idée	idea	Idee	DEL	exact match					
identité	identity	Identität	Q844569	https://www.wikidata.org/wiki/Q844569		Identité	identity	Identität	Seklit	exact match					
idéologie	ideology	Ideologie	Q7257	https://www.wikidata.org/wiki/Q7257		idéologie	ideology	Ideologie	DEL	exact match					
idolâtrie	idolatry	Idolatrie	Q840665		https://www.wikidata.org/wiki/Q840665	idolâtrie	Idolatry	Götze	DEL	close match	#	Q19			
illusion	illusion	Illusion	Q182593	https://www.wikidata.org/wiki/Q182593		illusion	illusion	Illusion	Seklit	exact match					
illustration	illustration	Illustration	Q178659	https://www.wikidata.org/wiki/Q178659		Illustration	Illustration	Illustration	DEL	exact match					
imagination	imagination	Imagination	Q34516	https://www.wikidata.org/wiki/Q34516		Imagination	Imagination	Imagination	DEL	exact match					
imitation	imitation	Imitation	Q1131737	https://www.wikidata.org/wiki/Q1131737		Imitation	Imitation	Nachahmung	DEL	exact match					
imprimerie	printing	Druckwesen	Q11034		https://www.wikidata.org/wiki/Q11034	Imprimerie	printing	Buchdruck	DEL	close match	#	Q19			
inceste	incest	Inzest	Q127683	https://www.wikidata.org/wiki/Q127683		inceste	incest	Inzest	Seklit	exact match					
