P13					P25	P25RP14	P25R1P14
update						Q1	Q24
id	Spalte	text	Keyword	property	Themenwert		
89.49bis	r_c	voyages, aventures de route, observation des mœurs, discussions philosophiques, explications d’histoire naturelle	voyages	isabout	voyage		
89.49bis	r_c	voyages, aventures de route, observation des mœurs, discussions philosophiques, explications d’histoire naturelle	philosophiques	isabout	philosophie		
89.49bis	r_c	voyages, aventures de route, observation des mœurs, discussions philosophiques, explications d’histoire naturelle	mœurs	isabout	mœurs		
89.49bis	r_c	voyages, aventures de route, observation des mœurs, discussions philosophiques, explications d’histoire naturelle	nature	isabout	nature		
89.5	r_c	aventures galantes d’un jeune homme	galant	isabout	galanterie		
89.51	r_c	Neuf lettres où une jeune dame se passionne pour la politique avant d’être rappelée à l’ordre par son père	politique	isabout	politique		
89.51	r_c	Neuf lettres où une jeune dame se passionne pour la politique avant d’être rappelée à l’ordre par son père	passion	isabout	passion		
89.53	r_c	voyage en France (Savoie), aventures galantes	galant	isabout	galanterie		
89.53	r_s	ton sentimental et moralisateur	sentimental	isabout	sentiment		
89.53	r_c	voyage en France (Savoie), aventures galantes	voyage	isabout	voyage		
89.54	r_c	voyages et aventures romanesques	voyages	isabout	voyage		
89.55	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
89.55	r_c	malheurs et aventures romanesques d’un jeune homme	malheurs	isabout	malheur		
89.56	r_c	intrigue sentimentale, voyages	sentimentale	isabout	sentiment		
89.56	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
89.56	r_c	intrigue sentimentale, voyages	voyages	isabout	voyage		
89.57	r_c	imprudences et malheurs d’une jeune fille	malheurs	isabout	malheur		
89.58	r_c	rencontre libertine de deux faux dévots	libertin	isabout	libertinage		
89.59	r_c	intrigues de cour, voyages, éléments merveilleux (fées, génies)	merveille	isabout	miracle		
89.59	r_c	intrigues de cour, voyages, éléments merveilleux (fées, génies)	voyages	isabout	voyage		
89.59	r_c	intrigues de cour, voyages, éléments merveilleux (fées, génies)	cour	isabout	cour		
89.60	r_c	voyages, aventures chevaleresques, éléments historiques	chevaleresques	isabout	chevalerie		
89.60	r_c	voyages, aventures chevaleresques, éléments historiques	voyages	isabout	voyage		
89.60	r_c	voyages, aventures chevaleresques, éléments historiques	éléments historiques	isabout	histoire		
89.61	r_c	aventures guerrières, intrigues politiques, éléments historiques	guerrière	isabout	guerre		
89.61	r_c	aventures guerrières, intrigues politiques, éléments historiques	politique	isabout	politique		
89.61	r_c	aventures guerrières, intrigues politiques, éléments historiques	éléments historiques	isabout	histoire		
89.63	r_c	aventures comiques, voyages, critique des mœurs	voyages	isabout	voyage		
89.63	r_c	aventures comiques, voyages, critique des mœurs	mœurs	isabout	mœurs		
89.64	r_c	histoire d’un ménage vertueux	vertu	isabout	vertu		
89.65	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
89.65	r_c	malheurs et aventures d’une orpheline	malheurs	isabout	malheur		
89.66	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
89.66	r_c	voyages, amours, intrigue mondaine	voyages	isabout	voyage		
89.66	r_c	voyages, amours, intrigue mondaine	amour	isabout	amour		
89.68	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
89.68	r_c	voyages et aventures d’un orphelin	voyages	isabout	voyage		
89.68	r_s	sensibilité, vertu	vertu	isabout	vertu		
89.69	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
89.69	r_c	amours contrariées	amour	isabout	amour		
89.70	r_c	voyage du héros qui sert de cadre à des pièces de théâtre, des morceaux en vers, des songes, et surtout des discussions de droit	voyage	isabout	voyage		
89.71	r_c	histoires de famille, tableaux de mœurs	famille	isabout	famille		
89.71	r_c	histoires de famille, tableaux de mœurs	mœurs	isabout	mœurs		
89.72	r_s	ton sensible, avec éléments satiriques	sensible	isabout	sentimentalisme		
89.72	r_c	aventures et intrigues amoureuses	amour	isabout	amour		
89.73	r_c	malheurs, événements merveilleux (le bonheur d’un pays dépend d’un coq d’or...)	merveille	isabout	miracle		
89.73	r_c	malheurs, événements merveilleux (le bonheur d’un pays dépend d’un coq d’or...)	malheurs	isabout	malheur		
89.74	r_c	voyages, aventures d’un jeune homme qui fait son chemin	voyages	isabout	voyage		
89.74	r_s	observations sur les mœurs	mœurs	isabout	mœurs		
89.77	r_c	voyages, aventures romanesques d’un noir	voyages	isabout	voyage		
89.78	r_c	le narrateur rêve qu’il est le fils de l’empereur, et discute des réformes politiques et sociales	politique	isabout	politique		
89.8	r_c	intrigues sentimentales, aventures romanesques, malheurs	sentimentale	isabout	sentiment		
89.8	r_c	intrigues sentimentales, aventures romanesques, malheurs	malheurs	isabout	malheur		
89.80	r_c	voyages, aventures romanesques	voyages	isabout	voyage		
89.82	r_s	prétentions moralisatrices, sensibilité	sensibilité	isabout	sentimentalisme		
89.82	r_c	voyages et aventures du criminel qui cherche à se réhabiliter	voyages	isabout	voyage		
89.82	r_c	voyages et aventures du criminel qui cherche à se réhabiliter	criminel	isabout	crime		
89.83	r_s	sensibilité, intentions moralisatrices	sensibilité	isabout	sentimentalisme		
89.83	r_c	intrigue mondaine, malheurs (les dangers moraux de la ville)	malheurs	isabout	malheur		
89.85	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
89.85	r_c	vie d’un ménage vertueux, malheurs	malheurs	isabout	malheur		
89.85	r_c	vie d’un ménage vertueux, malheurs	vertu	isabout	vertu		
89.87	r_c	éducation, amours, vie politique d’Alcibiade	politique	isabout	politique		
89.87	r_c	éducation, amours, vie politique d’Alcibiade	éducation	isabout	éducation		
89.87	r_c	éducation, amours, vie politique d’Alcibiade	amour	isabout	amour		
89.88	r_c	intrigues politiques	politique	isabout	politique		
89.9	r_c	intrigues amoureuses des maîtresses de la femme de chambre, saphisme	amour	isabout	amour		
89.90	r_s	allégories, ton sentimental	sentimental	isabout	sentiment		
89.90	r_c	intrigue amoureuse	amour	isabout	amour		
89.92	r_c	histoire de famille, intrigue sentimentale	sentimentale	isabout	sentiment		
89.92	r_c	histoire de famille, intrigue sentimentale	famille	isabout	famille		
89.94	r_c	intrigues sentimentales et mondaines, aventures militaires	sentimentale	isabout	sentiment		
89.94	r_c	intrigues sentimentales et mondaines, aventures militaires	militaire	isabout	militaire		
89.97	r_c	intrigue sentimentale, peinture des mœurs	sentimentale	isabout	sentiment		
89.97	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
89.97	r_s	sensibilité, vertu	vertu	isabout	vertu		
89.97	r_c	intrigue sentimentale, peinture des mœurs	mœurs	isabout	mœurs		
89.98	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
89.99	r_c	malheurs d’une famille honnête débarquée à Paris	famille	isabout	famille		
89.99	r_c	malheurs d’une famille honnête débarquée à Paris	malheurs	isabout	malheur		
90.1	r_c	aventures romanesques et sentimentales, peinture et critique des mauvaises mœurs	sentimentale	isabout	sentiment		
90.1	r_s	sensibilité effrénée	sensibilité	isabout	sentimentalisme		
90.1	r_c	aventures romanesques et sentimentales, peinture et critique des mauvaises mœurs	mœurs	isabout	mœurs		
90.10	r_c	Lettres et dialogues racontant les aventures galantes de la Reine	galant	isabout	galanterie		
90.11	r_c	intrigue sentimentale et aventures révolutionnaires (les premiers mois de la Révolution sous une forme allégorique)	sentimentale	isabout	sentiment		
90.11	r_c	intrigue sentimentale et aventures révolutionnaires (les premiers mois de la Révolution sous une forme allégorique)	révolutionnaires	isabout	révolution		
90.13	r_c	scènes lubriques chez des religieuses	lubriques	isabout	érotisme		
90.13	r_s	précisions pornographiques	pornographiques	isabout	érotisme		
90.15	r_c	Entrevue galante entre la princesse et l’abbé (pamphlet diffamatoire avec précisions lubriques)	galant	isabout	galanterie		
90.15	r_c	Entrevue galante entre la princesse et l’abbé (pamphlet diffamatoire avec précisions lubriques)	lubriques	isabout	érotisme		
90.16	r_c	Conte sur la politique d’un bon monarque (le roi Kalahad, Chimas, le Francolin)	politique	isabout	politique		
90.17	r_c	aventures comiques d’une jeune fille ingénue dans la bonne société (critique des mœurs)	mœurs	isabout	mœurs		
90.18	r_c	Pamphlet où l’épagneul de la Reine raconte les rencontres galantes de celle-ci	galant	isabout	galanterie		
90.2	r_s	thèmes politiques	thèmes politiques	isabout	politique		
90.20	r_c	En marge: narration satirique de la conception, naissance et éducation de l’abbé Maury, et de ses liaisons galantes	galant	isabout	galanterie		
90.20	r_c	En marge: narration satirique de la conception, naissance et éducation de l’abbé Maury, et de ses liaisons galantes	éducation	isabout	éducation		
90.21	r_c	En marge: satire politique (3e personne, en vers et en prose) où les deux héros font un voyage dans la lune pour retrouver la raison perdue sous Joseph II	politique	isabout	politique		
90.21	r_c	En marge: satire politique (3e personne, en vers et en prose) où les deux héros font un voyage dans la lune pour retrouver la raison perdue sous Joseph II	voyage	isabout	voyage		
90.23	r_c	voyages, discussions philosophiques et politiques	politique	isabout	politique		
90.23	r_c	voyages, discussions philosophiques et politiques	voyages	isabout	voyage		
90.23	r_c	voyages, discussions philosophiques et politiques	philosophiques	isabout	philosophie		
90.25	r_c	aventures guerrières, voyages en mer, observations sur les mœurs de différents peuples (les voyages de Cook mis en roman)	guerrière	isabout	guerre		
90.25	r_c	aventures guerrières, voyages en mer, observations sur les mœurs de différents peuples (les voyages de Cook mis en roman)	voyages	isabout	voyage		
90.25	r_c	aventures guerrières, voyages en mer, observations sur les mœurs de différents peuples (les voyages de Cook mis en roman)	mœurs	isabout	mœurs		
90.26	r_c	intrigues politiques et galantes d’un espion, éléments historiques	galant	isabout	galanterie		
90.26	r_c	intrigues politiques et galantes d’un espion, éléments historiques	politique	isabout	politique		
90.26	r_c	intrigues politiques et galantes d’un espion, éléments historiques	éléments historiques	isabout	histoire		
90.27	r_c	Petits récits, avec des discours moraux	cour	isabout	cour		
90.28	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
90.28	r_s	sensibilité passionnée, style élevé	sensibilité	isabout	sentimentalisme		
90.28	r_s	sensibilité passionnée, style élevé	passion	isabout	passion		
90.29	r_c	En marge: songe où l’histoire de France et surtout de la Révolution est racontée dans un cadre allégorique	Révolution	isabout	révolution		
90.31	r_c	voyages, aventures guerrières	guerrière	isabout	guerre		
90.31	r_s	roman d’éducation (thèmes politiques, religieux)	thèmes politiques	isabout	politique		
90.31	r_s	roman d’éducation (thèmes politiques, religieux)	éducation	isabout	éducation		
90.31	r_c	voyages, aventures guerrières	voyages	isabout	voyage		
90.34	r_c	aventures lubriques d’une jeune veuve	lubriques	isabout	érotisme		
90.36	r_c	amours pastorales, mythologie grecque	amour	isabout	amour		
90.37	r_c	intrigue mondaine, histoires de famille	famille	isabout	famille		
90.39	r_c	amours contrariées	amour	isabout	amour		
90.4	r_c	intrigues sentimentales et domestiques, peinture des mœurs	sentimentale	isabout	sentiment		
90.4	r_c	intrigues sentimentales et domestiques, peinture des mœurs	mœurs	isabout	mœurs		
90.40	r_c	intrigue sentimentale, aventures chevaleresques	sentimentale	isabout	sentiment		
90.40	r_c	intrigue sentimentale, aventures chevaleresques	chevaleresques	isabout	chevalerie		
90.41	r_c	malheurs et aventures d’un homme sensible ruiné par un escroc, intrigues sentimentales	sentimentale	isabout	sentiment		
90.41	r_c	malheurs et aventures d’un homme sensible ruiné par un escroc, intrigues sentimentales	sensible	isabout	sentimentalisme		
90.41	r_c	malheurs et aventures d’un homme sensible ruiné par un escroc, intrigues sentimentales	malheurs	isabout	malheur		
90.41	r_s	mélancolie, thèmes préromantiques, éloge de la vie simple	mélancolie	isabout	mélancolie		
90.44	r_c	voyages, aventures plaisantes	voyages	isabout	voyage		
90.46	r_c	voyages et aventures romanesques d’un jeune homme, naufrage et robinsonade	voyages	isabout	voyage		
90.46	r_c	voyages et aventures romanesques d’un jeune homme, naufrage et robinsonade	naufrage	isabout	naufrage		
90.50	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
90.50	r_s	sensibilité passionnée	sensibilité	isabout	sentimentalisme		
90.50	r_s	sensibilité passionnée	passion	isabout	passion		
90.52	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
90.52	r_c	intrigues amoureuses et domestiques	amour	isabout	amour		
90.55	r_c	les voyages de l’auteur, avec quelques anecdotes et une petite intrigue sentimentale	sentimentale	isabout	sentiment		
90.55	r_c	les voyages de l’auteur, avec quelques anecdotes et une petite intrigue sentimentale	voyages	isabout	voyage		
90.56	r_c	aventures, voyages à travers l’Europe d’un jeune paysan	voyages	isabout	voyage		
90.56	r_s	l’auteur se propose de décourager les paysans d’émigrer, en leur montrant que leur sort ne serait pas meilleur ailleurs	cour	isabout	cour		
90.62	r_c	intrigues amoureuses, complots et vengeances	amour	isabout	amour		
90.64	r_c	intrigues politiques, voyages, éléments merveilleux	merveille	isabout	miracle		
90.64	r_c	intrigues politiques, voyages, éléments merveilleux	politique	isabout	politique		
90.64	r_c	intrigues politiques, voyages, éléments merveilleux	voyages	isabout	voyage		
90.65	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
90.65	r_c	malheurs d’un prisonnier politique	politique	isabout	politique		
90.65	r_c	malheurs d’un prisonnier politique	malheurs	isabout	malheur		
90.66	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
90.66	r_c	intrigue mondaine, malheurs d’une jeune femme, mystères	malheurs	isabout	malheur		
90.7	r_c	voyages et aventures d’un jeune homme, observations et réflexions philosophiques	voyages	isabout	voyage		
90.7	r_c	voyages et aventures d’un jeune homme, observations et réflexions philosophiques	philosophiques	isabout	philosophie		
90.9	r_c	observations sur les mœurs et sur la Révolution sous la forme d’un voyage	Révolution	isabout	révolution		
90.9	r_c	observations sur les mœurs et sur la Révolution sous la forme d’un voyage	voyage	isabout	voyage		
90.9	r_c	observations sur les mœurs et sur la Révolution sous la forme d’un voyage	mœurs	isabout	mœurs		
91.1	r_c	voyages, réflexions morales sur la suppression de l’Église en France et les événements révolutionnaires	révolutionnaires	isabout	révolution		
91.1	r_s	ton sensible	sensible	isabout	sentimentalisme		
91.1	r_c	voyages, réflexions morales sur la suppression de l’Église en France et les événements révolutionnaires	voyages	isabout	voyage		
91.1	r_c	voyages, réflexions morales sur la suppression de l’Église en France et les événements révolutionnaires	morale	isabout	morale		
91.10	r_c	En marge: les événements politiques du jour sous un déguisement oriental (le prince Loie, Antoniana, les Grands Chicaniers)	politique	isabout	politique		
91.13	r_c	voyages, aventures romanesques et galantes	galant	isabout	galanterie		
91.13	r_c	voyages, aventures romanesques et galantes	voyages	isabout	voyage		
91.16	r_c	discussions philosophiques et politiques dans un cadre symbolique	politique	isabout	politique		
91.16	r_c	discussions philosophiques et politiques dans un cadre symbolique	philosophiques	isabout	philosophie		
91.18	r_s	sensibilité, couleur locale	sensibilité	isabout	sentimentalisme		
91.18	r_c	voyages et aventures de route, discussions édifiantes	voyages	isabout	voyage		
91.19	r_c	voyages, intrigue sentimentale	sentimentale	isabout	sentiment		
91.19	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
91.19	r_c	voyages, intrigue sentimentale	voyages	isabout	voyage		
91.21	r_c	aventures guerrières et sentimentales, éléments historiques	sentimentale	isabout	sentiment		
91.21	r_c	aventures guerrières et sentimentales, éléments historiques	guerrière	isabout	guerre		
91.21	r_c	aventures guerrières et sentimentales, éléments historiques	éléments historiques	isabout	histoire		
91.23	r_c	récit décousu, éléments allégoriques, critique politique	politique	isabout	politique		
91.24	r_c	voyages, observations, anecdotes décousues	voyages	isabout	voyage		
91.25	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
91.25	r_s	sensibilité effrénée, style entrecoupé	sensibilité	isabout	sentimentalisme		
91.28	r_c	intrigue mondaine, histoires d’amour	amour	isabout	amour		
91.32	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
91.32	r_c	intrigues amoureuses	amour	isabout	amour		
91.33	r_c	malheurs, aventures romanesques et sombres de deux frères	malheurs	isabout	malheur		
91.39	r_c	intrigue sentimentale, aventures romanesques	sentimentale	isabout	sentiment		
91.40	r_s	sensibilité, nature	sensibilité	isabout	sentimentalisme		
91.40	r_c	les malheurs d’une jeune fille trop sensible	malheurs	isabout	malheur		
91.40	r_s	sensibilité, nature	nature	isabout	nature		
91.7	r_c	aventures galantes, intrigues, voyages	galant	isabout	galanterie		
91.7	r_c	aventures galantes, intrigues, voyages	voyages	isabout	voyage		
91.8	r_c	les voyages et aventures d’un homme à qui parlent les bois de lit	voyages	isabout	voyage		
92.1	r_c	voyages, aventures, malheurs d’un Africain	malheurs	isabout	malheur		
92.1	r_c	voyages, aventures, malheurs d’un Africain	voyages	isabout	voyage		
92.15	r_c	vie de village, intrigue sentimentale, théories politiques	sentimentale	isabout	sentiment		
92.15	r_s	sensibilité, vertu, philosophie	sensibilité	isabout	sentimentalisme		
92.15	r_c	vie de village, intrigue sentimentale, théories politiques	politique	isabout	politique		
92.15	r_s	sensibilité, vertu, philosophie	vertu	isabout	vertu		
92.15	r_c	vie de village, intrigue sentimentale, théories politiques	village	isabout	village		
92.16	r_c	intrigues de cour, aventures romanesques, voyages	voyages	isabout	voyage		
92.16	r_c	intrigues de cour, aventures romanesques, voyages	cour	isabout	cour		
92.17	r_c	voyages, aventures romanesques et galantes	galant	isabout	galanterie		
92.17	r_c	voyages, aventures romanesques et galantes	voyages	isabout	voyage		
92.18	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
92.19	r_c	intrigue mondaine, peinture des mœurs	mœurs	isabout	mœurs		
92.2	r_c	aventures lubriques du personnage de Beaumarchais, suivies des confessions d’une prostituée	lubriques	isabout	érotisme		
92.2	r_s	précisions pornographiques	pornographiques	isabout	érotisme		
92.21	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
92.21	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
92.21	r_s	sensibilité, vertu	vertu	isabout	vertu		
92.23	r_c	voyages, aventures romanesques et galantes du précepteur d’un jeune noble	galant	isabout	galanterie		
92.23	r_s	thèmes politiques et moraux	thèmes politiques	isabout	politique		
92.23	r_c	voyages, aventures romanesques et galantes du précepteur d’un jeune noble	voyages	isabout	voyage		
92.24	r_c	amours tumultueuses, malheurs	malheurs	isabout	malheur		
92.24	r_c	amours tumultueuses, malheurs	amour	isabout	amour		
92.26	r_c	En marge: voyage de ta Liberté (madame Eliot) et de la Raison (madame Stuard) à Paris, avec beaucoup de discussions sur la politique	politique	isabout	politique		
92.26	r_c	En marge: voyage de ta Liberté (madame Eliot) et de la Raison (madame Stuard) à Paris, avec beaucoup de discussions sur la politique	voyage	isabout	voyage		
92.3	r_c	intrigues sentimentales, aventures romanesques, couleur locale (pays de Galles)	sentimentale	isabout	sentiment		
92.3	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
92.30	r_s	sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
92.30	r_c	amours malheureuses dans un cadre chevaleresque	malheur	isabout	malheur		
92.30	r_c	amours malheureuses dans un cadre chevaleresque	amour	isabout	amour		
92.30	r_s	sensibilité, mélancolie	mélancolie	isabout	mélancolie		
92.33	r_c	aventures libertines (scènes au couvent)	libertines	isabout	libertinage		
92.33	r_s	précisions pornographiques	pornographiques	isabout	érotisme		
92.34	r_c	aventures lubriques	lubriques	isabout	érotisme		
92.34	r_s	précisions pornographiques	pornographiques	isabout	érotisme		
92.35	r_s	intrigue sentimentale	sentimentale	isabout	sentiment		
92.39	r_c	amours contrariées par une mère et un confesseur qui ne prêchent pas d’exemple	amour	isabout	amour		
92.40	r_c	aventures galantes, intrigues de cour, affaires d’argent	galant	isabout	galanterie		
92.40	r_c	aventures galantes, intrigues de cour, affaires d’argent	cour	isabout	cour		
92.6	r_c	aventures romanesques, intrigue sentimentale	sentimentale	isabout	sentiment		
92.7	r_s	satire des mœurs	mœurs	isabout	mœurs		
92.8	r_c	intrigue sentimentale, détails historiques	sentimentale	isabout	sentiment		
92.9	r_c	intrigues politiques	politique	isabout	politique		
93.1	r_c	voyages et aventures romanesques (corsaires, esclavage)	voyages	isabout	voyage		
93.1	r_c	voyages et aventures romanesques (corsaires, esclavage)	esclavage	isabout	esclavage		
93.11	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
93.11	r_c	intrigues d’amour, complots et méprises	amour	isabout	amour		
93.12	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
93.12	r_s	ton moralisateur, sensibilité	sensibilité	isabout	sentimentalisme		
93.13	r_c	aventures romanesques et guerrières, l’amour d’un prince africain pour une Française	guerrière	isabout	guerre		
93.13	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
93.13	r_c	aventures romanesques et guerrières, l’amour d’un prince africain pour une Française	amour	isabout	amour		
93.15	r_c	aventures libertines de deux jeunes religieuses	libertines	isabout	libertinage		
93.17	r_s	ton moral et sentimental	sentimental	isabout	sentiment		
93.17	r_c	intrigues amoureuses	amour	isabout	amour		
93.18	r_c	intrigues mondaines et sentimentales, voyages, aventures	sentimentale	isabout	sentiment		
93.18	r_c	intrigues mondaines et sentimentales, voyages, aventures	voyages	isabout	voyage		
93.20	r_c	intrigue mondaine et sentimentale	sentimentale	isabout	sentiment		
93.4	r_c	aventures lubriques d’un jeune homme et d’une jeune femme, libertins tous deux	libertin	isabout	libertinage		
93.4	r_c	aventures lubriques d’un jeune homme et d’une jeune femme, libertins tous deux	lubriques	isabout	érotisme		
93.4	r_s	précisions pornographiques	pornographiques	isabout	érotisme		
93.5	r_s	satire politique, religieuse, médicale	politique	isabout	politique		
93.5	r_c	les héros racontent leurs voyages	voyages	isabout	voyage		
93.6	r_c	aventures galantes, éléments historiques	galant	isabout	galanterie		
93.6	r_c	aventures galantes, éléments historiques	éléments historiques	isabout	histoire		
93.8	r_c	intrigue sentimentale sur un fond d’actualité	sentimentale	isabout	sentiment		
94.1	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
94.1	r_c	jeunesse malheureuse de l’héroïne (intrigues de famille et de couvent)	famille	isabout	famille		
94.1	r_c	jeunesse malheureuse de l’héroïne (intrigues de famille et de couvent)	malheur	isabout	malheur		
94.10	r_c	intrigues, aventures et malheurs d’un jeune homme, victime d’une mauvaise éducation	éducation	isabout	éducation		
94.10	r_c	intrigues, aventures et malheurs d’un jeune homme, victime d’une mauvaise éducation	malheurs	isabout	malheur		
94.12	r_c	aventures romanesques et sentiment sentimentales	sentimentale	isabout	sentiment		
94.14	r_s	passions violentes et néfastes	passion	isabout	passion		
94.15	r_c	voyages, aventures galantes	galant	isabout	galanterie		
94.15	r_c	voyages, aventures galantes	voyages	isabout	voyage		
94.15	r_s	observations sur les mœurs	mœurs	isabout	mœurs		
94.5	r_s	sensibilité, vertu, nature. Imitation de Paul et Virginie	sensibilité	isabout	sentimentalisme		
94.5	r_c	amours malheureuses	malheur	isabout	malheur		
94.5	r_c	amours malheureuses	amour	isabout	amour		
94.5	r_s	sensibilité, vertu, nature. Imitation de Paul et Virginie	vertu	isabout	vertu		
94.5	r_s	sensibilité, vertu, nature. Imitation de Paul et Virginie	nature	isabout	nature		
94.6	r_c	intrigue mondaine, voyages, aventures	voyages	isabout	voyage		
94.7	r_c	malheurs et aventures d’une famille de paysans	famille	isabout	famille		
94.7	r_c	malheurs et aventures d’une famille de paysans	malheurs	isabout	malheur		
94.7	r_s	thèmes anticléricaux, vertus républicaines	vertu	isabout	vertu		
94.9	r_c	aventures romanesques et mystérieuses	mystérieuse	isabout	mystère		
95.10	r_c	aventures romanesques, voyages, intrigue sentimentale	sentimentale	isabout	sentiment		
95.10	r_c	aventures romanesques, voyages, intrigue sentimentale	voyages	isabout	voyage		
95.12	r_c	intrigue sentimentale (un mari infidèle ramené à sa femme)	sentimentale	isabout	sentiment		
95.12	r_s	vertu, sensibilité	sensibilité	isabout	sentimentalisme		
95.12	r_s	vertu, sensibilité	vertu	isabout	vertu		
95.13	r_c	amours et aventures pastorales	amour	isabout	amour		
95.14	r_s	prose poétique, peintures voluptueuses, sensibilité passionnée	sensibilité	isabout	sentimentalisme		
95.14	r_c	amours d’un jeune homme	amour	isabout	amour		
95.14	r_s	prose poétique, peintures voluptueuses, sensibilité passionnée	passion	isabout	passion		
95.21	r_c	aventures et amours	amour	isabout	amour		
95.23	r_c	intrigue sentimentale	sentimentale	isabout	sentiment		
95.24	r_c	intrigue sentimentale, voyages, aventures, malheurs	sentimentale	isabout	sentiment		
95.24	r_c	intrigue sentimentale, voyages, aventures, malheurs	malheurs	isabout	malheur		
95.24	r_c	intrigue sentimentale, voyages, aventures, malheurs	voyages	isabout	voyage		
95.26	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
95.26	r_c	amours malheureuses, voyages, naufrage	malheur	isabout	malheur		
95.26	r_c	amours malheureuses, voyages, naufrage	voyages	isabout	voyage		
95.26	r_c	amours malheureuses, voyages, naufrage	amour	isabout	amour		
95.26	r_c	amours malheureuses, voyages, naufrage	naufrage	isabout	naufrage		
95.27	r_s	sensibilité passionnée	sensibilité	isabout	sentimentalisme		
95.27	r_c	voyages et malheurs d’un jeune homme	malheurs	isabout	malheur		
95.27	r_c	voyages et malheurs d’un jeune homme	voyages	isabout	voyage		
95.27	r_s	sensibilité passionnée	passion	isabout	passion		
95.28	r_s	sensibilité, mélancolie	sensibilité	isabout	sentimentalisme		
95.28	r_c	intrigues politiques, histoire d’amour	politique	isabout	politique		
95.28	r_c	intrigues politiques, histoire d’amour	amour	isabout	amour		
95.28	r_s	sensibilité, mélancolie	mélancolie	isabout	mélancolie		
95.3	r_s	sensibilité, vertu	sensibilité	isabout	sentimentalisme		
95.3	r_c	intrigues domestiques et amoureuses	amour	isabout	amour		
95.3	r_s	sensibilité, vertu	vertu	isabout	vertu		
95.34	r_c	intrigues de cour	cour	isabout	cour		
95.39	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
95.39	r_c	amours contrariées, intrigues mondaines	amour	isabout	amour		
95.4	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
95.41	r_c	voyages, aventures romanesques et merveilleuses	merveille	isabout	miracle		
95.41	r_c	voyages, aventures romanesques et merveilleuses	voyages	isabout	voyage		
95.44	r_c	voyages et aventures d’un jeune homme	voyages	isabout	voyage		
95.6	r_c	les chagrins domestiques d’une mère de famille	famille	isabout	famille		
95.6	r_s	peinture des mœurs	mœurs	isabout	mœurs		
95.7	r_c	Séparé de sa bien-aimée, le narrateur lui reste fidèle: elle apparaît mystérieusement chaque fois que cet amour est mis à l’épreuve	mystérieuse	isabout	mystère		
95.7	r_c	Séparé de sa bien-aimée, le narrateur lui reste fidèle: elle apparaît mystérieusement chaque fois que cet amour est mis à l’épreuve	amour	isabout	amour		
96.12	r_s	nature, sensibilité, vertu	sensibilité	isabout	sentimentalisme		
96.12	r_s	nature, sensibilité, vertu	vertu	isabout	vertu		
96.12	r_s	nature, sensibilité, vertu	nature	isabout	nature		
96.14	r_c	L’éducation du fils d’un seigneur de village est entreprise par un honnête pasteur (M. Woudlei, Valentin, Hélène, sir Henry Alford, Edwin Alford...)	éducation	isabout	éducation		
96.14	r_c	L’éducation du fils d’un seigneur de village est entreprise par un honnête pasteur (M. Woudlei, Valentin, Hélène, sir Henry Alford, Edwin Alford...)	village	isabout	village		
96.15	r_c	En marge: récit de voyage en vers et en prose	voyage	isabout	voyage		
96.16	r_c	malheurs d’une femme qui est trop belle (galanteries mondaines, voyages, esclavage)	galant	isabout	galanterie		
96.16	r_s	ton sentimental et moralisateur	sentimental	isabout	sentiment		
96.16	r_c	malheurs d’une femme qui est trop belle (galanteries mondaines, voyages, esclavage)	malheurs	isabout	malheur		
96.16	r_c	malheurs d’une femme qui est trop belle (galanteries mondaines, voyages, esclavage)	voyages	isabout	voyage		
96.16	r_c	malheurs d’une femme qui est trop belle (galanteries mondaines, voyages, esclavage)	esclavage	isabout	esclavage		
