P13					P25	P25RP14	P25R1P14
update						Q1	Q24
id	Spalte	text	Keyword	property	Themenwert		
52.34	r_c	quelques aventures, mais l’élément narratif est subordonné à la discussion des questions sociales, philosophiques et surtout religieuses	philosophiques	isabout	philosophie		
52.35	r_c	histoires sentimentales et légèrement satiriques: usage exagéré des notes critiques pour des effets humoristiques	sentimentale	isabout	sentiment		
52.36	r_c	intrigues d’amour allégoriques	amour	isabout	amour		
52.39	r_c	naufrage, voyage dans l’île, entretiens sur l’armée, la justice, etc.	voyage	isabout	voyage		
52.39	r_c	naufrage, voyage dans l’île, entretiens sur l’armée, la justice, etc.	naufrage	isabout	naufrage		
52.4	r_c	aventures galantes et scabreuses	galant	isabout	galanterie		
52.41	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
52.42	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
52.42	r_c	aventures romanesques, voyages	voyages	isabout	voyage		
52.7	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
52.7	r_c	intrigues amoureuses	amour	isabout	amour		
52.9	r_c	intrigues de cour et de sérail	cour	isabout	cour		
53.1	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
53.1	r_c	malheurs d’une jeune fille dont la famille est ruinée	famille	isabout	famille		
53.1	r_c	malheurs d’une jeune fille dont la famille est ruinée	malheurs	isabout	malheur		
53.10	r_c	voyages, rencontres, aventures de la femme d’un militaire	voyages	isabout	voyage		
53.10	r_c	voyages, rencontres, aventures de la femme d’un militaire	militaire	isabout	militaire		
53.11	r_c	aventures galantes	galant	isabout	galanterie		
53.12	r_c	intrigue sentimentale avec scènes voluptueuses	sentimentale	isabout	sentiment		
53.13	r_s	intentions moralisatrices, sensibilité	sensibilité	isabout	sentimentalisme		
53.13	r_c	Mme du Montier envoie à sa fille des conseils sur des problèmes du mariage, de la vie de cour etc.	cour	isabout	cour		
53.14	r_c	intrigues sentimentales du sérail	sentimentale	isabout	sentiment		
53.14	r_s	réflexions morales, sensibilité	sensibilité	isabout	sentimentalisme		
53.14	r_s	réflexions morales, sensibilité	morale	isabout	morale		
53.17	r_c	intrigues galantes	galant	isabout	galanterie		
53.20	r_c	aventures sentimentales et militaires	sentimentale	isabout	sentiment		
53.20	r_c	aventures sentimentales et militaires	militaire	isabout	militaire		
53.23	r_s	conte oriental merveilleux	merveille	isabout	miracle		
53.24	r_c	aventures sentimentales et militaires	sentimentale	isabout	sentiment		
53.24	r_c	aventures sentimentales et militaires	militaire	isabout	militaire		
53.27	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
53.27	r_c	aventures romanesques, voyages	voyages	isabout	voyage		
53.28	r_s	sensibilité	sensibilité	isabout	sentimentalisme		
53.28	r_c	amours malheureuses	malheur	isabout	malheur		
53.28	r_c	amours malheureuses	amour	isabout	amour		
53.31	r_c	intrigues sentimentales	sentimentale	isabout	sentiment		
53.31	r_s	sensibilité, intentions moralisatrices	sensibilité	isabout	sentimentalisme		
53.34	r_c	intrigue sentimentale (le fils de la marquise tombe amoureux d’une petite marchande de lait et de légumes)	sentimentale	isabout	sentiment		
53.34	r_c	intrigue sentimentale (le fils de la marquise tombe amoureux d’une petite marchande de lait et de légumes)	amour	isabout	amour		
53.4	r_s	conversations sur l’amour; conte merveilleux	merveille	isabout	miracle		
53.4	r_s	conversations sur l’amour; conte merveilleux	amour	isabout	amour		
53.5	r_c	rencontres galantes; anecdotes sur l’amour (l’Amour essaie de rétablir son influence en prêchant un carême, mais c’est Vénus, c.-à-d. le plaisir libertin, qui gagne la partie)	galant	isabout	galanterie		
