P13		P52		check	1P52		1check	2P52		2check	3P52		3check	4P52		4check	5P52		5check	6P52		6check	7P52		8P52		8check	P52RP14	1P52RP14	2P52RP14	3P52RP14	4P52RP14	5P52RP14	6P52RP14	7P52RP14	8P52RP14
update																												Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1	Q1
id	s	r_pl	P48 1 Wikidata Label			P48 2 Wikidata Label			P48 3 Wikidata Label			P48 4 Wikidata Label			P48 5 Wikidata Label			P48 6 Wikidata Label			P48 7 Wikidata Label			P48 8 Wikidata Label		P48 9 Wikidata Label										
51.13		Espagne	Espagne	https://www.wikidata.org/wiki/Q29	Narbonne	Narbonne	https://www.wikidata.org/wiki/Q6555	Londres	Londres	https://www.wikidata.org/wiki/Q84	Alger...	Alger	https://www.wikidata.org/wiki/Q3561																							
51.14																																				
51.15		Ath�nes (=Paris)	Ath�nes	https://www.wikidata.org/wiki/Q1524																																
51.16	m																																			
51.17	t	Londres	Londres	https://www.wikidata.org/wiki/Q84																																
51.18	m																																			
51.19	[51.19]																																			
51.2	m																																			
51.20																																				
51.21		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
51.22		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
51.23		cadre oriental	Orient	https://www.wikidata.org/wiki/Q205653																																
51.24		cadre pseudo-grec	cadre pseudo-grec																																	
51.25		cadre grec	Gr�ce	https://www.wikidata.org/wiki/Q41																																
51.26	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
51.27		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
51.28	mt																																			
51.29	t																																			
51.3		Su�de	Su�de	https://www.wikidata.org/wiki/Q34																																
51.30	m																																			
51.31		Paris	Paris	https://www.wikidata.org/wiki/Q90																																
51.32		Paris	Paris	https://www.wikidata.org/wiki/Q90	Espagne	Espagne	https://www.wikidata.org/wiki/Q29																													
51.33																																				
51.34		Constantinople	Constantinople	https://www.wikidata.org/wiki/Q16869																																
51.35																																				
51.36		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183																										
51.37		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
51.38		pays imaginaire	pays de fiction	https://www.wikidata.org/wiki/Q1145276																																
51.39		conte Oriental	Orient	https://www.wikidata.org/wiki/Q205653																																
51.4																																				
51.40	t	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																																
51.41		Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	France	France	https://www.wikidata.org/wiki/Q142																													
51.5																																				
51.6	m																																			
51.7		province	campagne	https://www.wikidata.org/wiki/Q175185	Paris	Paris	https://www.wikidata.org/wiki/Q90																													
51.8		Indes	Inde	https://www.wikidata.org/wiki/Q668	Chine	République populaire de Chine	https://www.wikidata.org/wiki/Q148																													
51.9		Venise	Venise	https://www.wikidata.org/wiki/Q641																																
52.1	t	Milan	Milan	https://www.wikidata.org/wiki/Q490																																
52.10	nt	Gr�ce	Gr�ce	https://www.wikidata.org/wiki/Q41																																
52.11																																				
52.12		France	France	https://www.wikidata.org/wiki/Q142																																
52.13		France	France	https://www.wikidata.org/wiki/Q142	Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183																													
52.14		cadre fantaisiste	lieu de fiction	https://www.wikidata.org/wiki/Q3895768																																
52.15																																				
52.16		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
52.17																																				
52.18		Goa	Goa	https://www.wikidata.org/wiki/Q1171	royaume de la Raison	royaume de la Raison																														
52.19		cadre fantaisiste oriental	lieu de fiction	https://www.wikidata.org/wiki/Q3895768		Orient	https://www.wikidata.org/wiki/Q205653																													
52.2		Berlin	Berlin	https://www.wikidata.org/wiki/Q64																																
52.20	m																																			
52.21	t	Bologne	Bologne	https://www.wikidata.org/wiki/Q1891	Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21																													
52.22	nt	Italie	Italie	https://www.wikidata.org/wiki/Q38																																
52.23		Bordeaux	Bordeaux	https://www.wikidata.org/wiki/Q1479																																
52.24	n	Babilone	Babylone	https://www.wikidata.org/wiki/Q47690																																
52.25	m																																			
52.26		France	France	https://www.wikidata.org/wiki/Q142																																
52.27		pays de Bonhommie	pays de Bonhommie		Portugal	Portugal	https://www.wikidata.org/wiki/Q45	royaume de Teurosy	royaume de Teurosy																											
52.28		l�ile de la Fontaine (de la jouvence)	l�ile de la Fontaine (de la jouvence)																																	
52.29		Tunis	Tunisie	https://www.wikidata.org/wiki/Q948																																
52.3		Brabant	Pagus de Brabant	https://www.wikidata.org/wiki/Q3051218																																
52.30	c																																			
52.31		�le d�Aeaea	��a	https://www.wikidata.org/wiki/Q403366	cadre grec	Gr�ce	https://www.wikidata.org/wiki/Q41																													
52.32		cadre champ�tre	campagne	https://www.wikidata.org/wiki/Q175185																																
52.33		Palerme	Palerme	https://www.wikidata.org/wiki/Q2656																																
52.34	m	Paris	Paris	https://www.wikidata.org/wiki/Q90																																
52.35		Egypte	�gypte	https://www.wikidata.org/wiki/Q79	Enfers	enfer	https://www.wikidata.org/wiki/Q564																													
52.36		Paris	Paris	https://www.wikidata.org/wiki/Q90	province	campagne	https://www.wikidata.org/wiki/Q175185																													
52.37	n																																			
52.38	n																																			
