"P13"		"P47"	"P55"	"P55RP14"
"update"				"Q1"
	"check item"	"minimale Korrekturen"	"neu: Mapping der Strings auf 7 Werte"	"stated in Q1"
"52.35"		"1re personne changeant en 3e, avec un long récit intercalé"	"mixed"	
"63.3"		"1re personne et beaucoup de narration à la 3e personne"	"mixed"	
"57.3"		"1re personne terminé par quelques paragraphes 3e personne"	"mixed"	
"87.20"		"1re personne virant à la 3e personne"	"mixed"	
"68.55"		"1re personne virant à la 3e, avec dialogues"	"mixed"	
"75.46"		"1re personne virant à la 3e, avec dialogues"	"mixed"	
"55.21"	"n"	"1re personne, autobiographie romancée"	"autodiegetic"	
"63.1"		"1re personne, avec beaucoup de dialogues"	"mixed"	
"99.128"		"1re personne, avec beaucoup de dialogues"	"mixed"	
"65.51"		"1re personne, avec beaucoup de narration à la 3e personne"	"mixed"	
"71.38"	"t"	"1re personne, avec courts récits intercalés 1re personne"	"autodiegetic"	
"62.1"		"1re personne, avec des histoires 3e personne"	"autodiegetic"	
"00.106"		"1re personne, avec des lettres"	"autodiegetic"	
"00.84"	"t"	"1re personne, avec des lettres"	"autodiegetic"	
"84.17"		"1re personne, avec des lettres"	"autodiegetic"	
"84.28"		"1re personne, avec des lettres"	"autodiegetic"	
"99.136"		"1re personne, avec des lettres"	"autodiegetic"	
"66.6bis"		"1re personne, avec des récits 1re personne par d’autres personnages"	"autodiegetic"	
"61.9"		"1re personne, avec des récits intercalés 3e personne"	"autodiegetic"	
"79.11"		"1re personne, avec dialogues"	"autodiegetic"	
"89.103"	"t"	"1re personne, avec dialogues"	"autodiegetic"	
"72.8"		"1re personne, avec dialogues et vers"	"autodiegetic"	
"65.41"	"c_MH"	"1re personne, avec histoires intercalées 1re personne"	"autodiegetic"	
"99.10"		"1re personne, avec histoires intercalées 1re personne"	"autodiegetic"	
"60.14"		"1re personne, avec lettres"	"autodiegetic"	
"85.12"		"1re personne, avec lettres"	"autodiegetic"	
"65.15"		"1re personne, avec petites chansons en vers"	"autodiegetic"	
"90.13"		"1re personne, avec quelques lettres"	"autodiegetic"	
"00.82"	"t"	"1re personne, avec récit 1re personne et quelques lettres"	"autodiegetic"	
"66.35"		"1re personne, avec récit intercalé"	"autodiegetic"	
"65.19"		"1re personne, avec récit intercalé (Le malheureux inné ou histoire d’Orchnai, histoire anglaise)"	"autodiegetic"	
"00.151"	"t"	"1re personne, avec récit intercalé 1re personne"	"autodiegetic"	
"51.27"		"1re personne, avec récit intercalé 1re personne"	"autodiegetic"	
"79.13"		"1re personne, avec récit intercalé 1re personne"	"autodiegetic"	
"94.1"		"1re personne, avec récit intercalé 1re personne"	"autodiegetic"	
"97.13"		"1re personne, avec récit intercalé 1re personne"	"autodiegetic"	
"89.2"		"1re personne, avec récit intercalé 1re personne (confession)"	"autodiegetic"	
"96.38"		"1re personne, avec récits 1re et 3e personne"	"autodiegetic"	
"71.24"		"1re personne, avec récits 1re personne"	"autodiegetic"	
